review_id,label,user,ip,star,text
REVIEW0,+,USER1,IP1,5,他家的面很有嚼劲，牛肉汤很有味道，服务员的服务也特别的好，其中服务员顾存芳的服务特好！好喜欢她给我们服务！！！！
REVIEW1,-,USER2,IP2,4,鲜榨果汁很不错，水果都是很新鲜的，口感也很好，是个小妹妹态度非常好，环境也很好，但是专家告诉我们还是吃水果比较好  嘿嘿
REVIEW2,+,USER3,IP3,5,跟老婆过二人世界，就定了他家的一间包房，他家挺好的，跟老婆点了几个菜，边吃边聊，包房的话，那个小姑娘看我们两人也没怎么打扰，着让我感到挺舒服的
REVIEW3,-,USER4,IP4,5,我是在开业那天去得，他们的环境很好，进去给人一种很温软的感觉  他们的服务很好，销售很耐心的跟我和我老公介绍了各种口味  爆米花价格性价比很高，口味很多。  总得来说他们的服务态度非常的好，价格又很实惠，建议喜欢的朋友可以沃尔玛买~
REVIEW4,-,USER5,IP5,4,好像说属于宁波菜系，东西还可以，只是上菜速度比较慢，好在服务还不错。还有赠送的餐前小吃，水果是餐前送的，这一点很科学，赞！
REVIEW5,+,USER6,IP6,3,今天过来看一下，顺便买了一些零食，好实惠，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，服务员很热情。
REVIEW6,-,USER7,IP7,5,2号线科技馆下来找了好久，离地铁还是蛮远的，不过面包真心赞啊！有机会真想把这儿的面包全买了。环境也不错，价格也没有很离谱啦！ 红酒芝士的芝士真是超级多，满满的+_+
REVIEW7,+,USER8,IP8,5,昨天休息，约上几个朋友去鸭王，因为想吃鸭子了。点了一只168元的，说是精品烤鸭。那就尝尝吧。上来了，师傅在片，果然不错还是三吃的，鸭架换汤，很鲜美、，，下次想吃就选鸭王，，，，
REVIEW8,-,USER9,IP9,4,老牌子，老饭店了，有外地朋友来想吃烤鸭时一般会选择鸭王，因为在我感觉中，烤鸭店都是差不多味道的。
REVIEW9,+,USER10,IP10,5,太好吃了，真的是太好吃了，实在是太好吃了，好吃的没边了，好吃的难以形容啊，不知道怎么会有怎么好吃的甜品呢，芋贵人，赞啊！
REVIEW10,+,USER11,IP11,5,前几天和朋友们一起去吃饭，正好有人过生日，让服务员帮我们把蛋糕放进冰箱，然后因为我们有人是回族不能吃猪肉，问服务员汤底有没有猪肉，服务员说有，然后也帮我们出主意，说单独点个小锅，然后用开水帮我们用调料做一个可以吃的小锅，真的很贴心
REVIEW11,-,USER12,IP12,5,味道很好，奶茶是手工的味道很浓。三明治也是一个不错的选择，肉都是何美尔的。饿的时候一杯奶茶，一个三明治足够了
REVIEW12,-,USER13,IP13,4,这家店在大地电影院的对面，和好多家别小吃店在一起，味道还是不错的，就是要的5分熟倒觉得下口咬不动，下次还是吃7分熟算了。餐前会送玉米汤，鱼排挺嫩的，2人去点了一份T骨（45），一份牛鱼双拼（45），可以积分的，吃过7次，免费送一次经典牛排，价值35的好像。
REVIEW13,-,USER14,IP14,1,公然卖狗肉，无法证明出处的无耻商家！！！谁吃谁倒霉！ 公然卖狗肉，无法证明出处的无耻商家！！！谁吃谁倒霉！ 公然卖狗肉，无法证明出处的无耻商家！！！谁吃谁倒霉！ 公然卖狗肉，无法证明出处的无耻商家！！！谁吃谁倒霉！
REVIEW14,-,USER15,IP15,5,第一次来上海，在车站的时候朋友带我去吃东西    来到康师傅，我点的是新品金牌牛肉面，，，面很宽，很好吃，肉也挺多的，汤很浓很浓，，味道特别好，，很喜欢吃，，以后还要来吃
REVIEW15,-,USER16,IP16,5,环境和服务非常好，就冲这两点我还会去的。我是提前定的一个包房它里面有独立的卫生间。菜上的蛮快的而且菜还蛮入口的。
REVIEW16,-,USER17,IP17,1,没一个菜好吃的，最简单的煮干丝都烧得那么油，但是汤不浓没有味道，其他菜更别提了，差！
REVIEW17,+,USER18,IP18,5,不敢吃鸡了。来换换口味。嗯。挺满意的。牛肉很入味。麻辣很对胃口。吃完意犹未尽。满意。。。。。。。。。
REVIEW18,-,USER19,IP19,4,昨天刚去吃过，所以今天就过来点评一下，说说自己的一些感想，昨天是朋友结婚在这个酒店，总是来说还行吧，不过我不喜欢这个菜的口味，我喜欢川菜之类的
REVIEW19,-,USER20,IP20,3,团购的双人套餐，量很多的，两盆肉超多，两个人根本吃不完，要的白汤锅，没什么特色，土豆粉不错，烧不烂，炸豆皮超好吃的，两盆羊肉和拼盘超多的，没有因为团购而减少，还有生菜完全吃不下了，这家店人超少，就四桌人，而且空调很小，不舒服，不是团购不会去的
REVIEW20,+,USER21,IP21,5,口味和别家的康师傅牛肉面是一个样， 不过选择没有别家的多，选的红烧牛肉面， 挺好吃的，在点餐人员的介绍下选择的套餐 ，还挺划算，30多块钱， 吃的饱饱的，点餐人员江 想想态度很好，很有耐心的介绍
REVIEW21,+,USER22,IP22,5,一般般还不错很便宜很好吃。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
REVIEW22,-,USER23,IP23,5,"第一次来这里人这么安静!这厅就是很大,他们家的鸭子是从北京过来的.用的是火烤的我想有什么都没有了!放心"
REVIEW23,-,USER24,IP24,5,名以食为天，万物土中生！！！！！！！！！！！！！总觉得这家的店的环境不错，菜肴的口味也很好，我想对于那些学生朋友而言，这真的是个不错的选择，大家记得来这里吃东西哟，呵呵。。。。。。。。。。。
REVIEW24,+,USER25,IP25,5,前几天去虹桥火车站接朋友就顺便在康师傅私房牛肉面吃饭点了一份秘制牛肉拌面，还有一份金牌牛三宝面味道很正点，很不错有时间就多去去吧···兄弟姐妹们
REVIEW25,-,USER26,IP26,4,大厅非常吵闹，小孩子很多，哭啊闹啊，一点都不得清净，下次再也不要周末去吃了
REVIEW26,-,USER27,IP27,1,开在荒郊野外，想以宴请为主，可惜位置不佳，没有相应客户群，已经关门歇业了，晚上过去，一片漆黑。可惜了那一片竹林，还有不错的建筑。
REVIEW27,-,USER28,IP28,3,有了心里准备，就感觉排了十几二十分钟并不算长！口味还不错吧！
REVIEW28,+,USER29,IP29,5,还蛮不错的一家店，环境还可以，服务也不错，重要的是口味也不错，不然也不会吸引我一直过去吃饭了，又一次更夸张，中午和一帮朋友去了，晚上又去了一次
REVIEW29,-,USER30,IP30,4,朋友介绍过来的，是一家很大的店铺。光新路高架下来就是。里面装修很大气。确实是正宗的阳澄湖大闸蟹。都是鲜活的大闸蟹，每只蟹上面都配有戒指可以查询防伪的。蟹黄很爆满。蟹肉鲜美。吃蟹的朋友可以考虑蟹行天下哦。
REVIEW30,+,USER31,IP31,5,哈哈 这个就是我们大家聚会的好场所啊，据说上次还承接了委员长同志委派的外宾接待任务啊！很给力有木有啊！尤其是最近开发了很多新菜啊！哈哈
REVIEW31,+,USER32,IP32,5,晚上下班去的鸭王，女朋友比较喜欢吃烤鸭，就点了半只烤鸭，我们两个人吃不完整只的。再点了一些其他的菜。上菜速度很快的，菜的味道也很好。服务生都挺勤快，一顿饭吃下来骨碟换了就有三个了。不错。。。推荐大家也过来试试。。
REVIEW32,-,USER33,IP33,4,绝味鸭脖价格挺便宜的，上次买了好多东西价格不贵，喜欢他家的鸭架和鸭脖
REVIEW33,+,USER34,IP1,5,面条不是一般的有劲道，品种又多，牛肉炖的又酥又烂，味道浓烈，服务员服务很到位，其中一个叫顾存芳的特别周到，态度好，勤快，对人很友善！
REVIEW34,-,USER35,IP34,3,下单已经超过45分钟，四个人点的七个冷热菜全吃完了，还不见点的烤鸭的影子。。。不见烤鸭!
REVIEW35,+,USER36,IP35,5, 鸭王我是经常去的，因为我喜欢，很多服务员都认识我的，老客人了，对我们都很热情，烤鸭很好吃的，很香，芥末鸭掌也很够味的，。。。，家庭聚会是个好的方。。。。。
REVIEW36,-,USER37,IP36,4,在上海的时候经常来这家吃腐竹盖浇饭和凉拌牛肉。味道还不错 但有时候这边的腐竹不是很好。牛肉分量还行 够辣
REVIEW37,-,USER38,IP37,5,老板很客气，感觉是鲜族的。先看菜单觉得小贵，菜上来一看，绝对划算！量足，食材好！肉绝对没有冷冻的嫌疑，烤出来很有肉香，口感也好！好地方！还会再来！泡菜汤赞一个！非常合我口味！
